iter	TotalF1	MultiClass
0	0.5812245315	1.081453144
1	0.5594678969	1.065489776
2	0.5676741483	1.049991102
3	0.5659624089	1.036669952
4	0.5695704035	1.023338195
5	0.5654654907	1.010807834
6	0.5668655102	0.9992165856
7	0.5672823568	0.9881549764
8	0.5671074774	0.9776072533
9	0.5674584905	0.9680651818
10	0.5695841009	0.9587461275
11	0.5686347784	0.9499220877
12	0.5686312859	0.941697347
13	0.5672199134	0.9339627333
14	0.5697149691	0.9260053741
15	0.5715546018	0.9184715539
16	0.570151159	0.9120709918
17	0.5710765211	0.90572377
18	0.5708449699	0.8995911929
19	0.5715119722	0.8938056198
20	0.5724549926	0.8880831278
21	0.5723635384	0.8837953222
22	0.5722643669	0.8784084827
23	0.5725569065	0.87374835
24	0.5723138866	0.8689273504
25	0.5734009353	0.8645484119
26	0.5751585192	0.8603676694
27	0.5758163239	0.8561276666
28	0.5751899932	0.8522315045
29	0.5767447031	0.8484081688
30	0.5764876889	0.8449256164
31	0.5770186774	0.8415158359
32	0.5780530927	0.838386621
33	0.5787440762	0.8352306493
34	0.5794711464	0.8321031166
35	0.5808205097	0.8293623443
36	0.5818933203	0.8264341257
37	0.5812336187	0.8236936676
38	0.5821589056	0.8212343224
39	0.5816521466	0.8185412971
40	0.5818631424	0.8163774538
41	0.5833539109	0.8140201074
42	0.5840886753	0.8118615994
43	0.5851630939	0.8096626212
44	0.5850038058	0.8075783913
45	0.5853514693	0.8055362475
46	0.5876291562	0.8035817746
47	0.5873726514	0.8017705419
48	0.5893201063	0.8001618373
49	0.5900095442	0.7985818846
50	0.5900966094	0.7969411624
51	0.5907128029	0.7954292738
52	0.5912442946	0.7941343758
53	0.5918024745	0.792685272
54	0.591846904	0.7913556298
55	0.5926279731	0.7900275005
56	0.5923906405	0.7888897322
57	0.5924507389	0.7878165021
58	0.5924374778	0.786655371
59	0.592351509	0.7856713706
60	0.5930058744	0.7845832823
61	0.5930469609	0.7836844451
62	0.5922394195	0.7827797546
63	0.5928438874	0.7817530378
64	0.5933570232	0.780666226
65	0.5947510792	0.7796440772
66	0.5942041032	0.7789160454
67	0.5950464607	0.7781392834
68	0.5943138682	0.7774943457
69	0.5941180918	0.7767485689
70	0.5949241607	0.7758574905
71	0.5952643668	0.7751657899
72	0.5954489671	0.7745718612
73	0.595489954	0.7736777895
74	0.5958346299	0.773067995
75	0.5968469834	0.7722244943
76	0.5969702262	0.7714916646
77	0.5972579446	0.7708238091
78	0.5966384114	0.7703680255
79	0.5976470797	0.7698001539
80	0.5975716236	0.7694049615
81	0.5980165089	0.7687768425
82	0.5987787714	0.7680973492
83	0.5994466109	0.7674169334
84	0.5996681505	0.7669572985
85	0.6004419469	0.7663271373
86	0.6003994419	0.7658244636
87	0.600794523	0.7654803698
88	0.6018750199	0.7649214617
89	0.6022008696	0.7643756867
90	0.6027512735	0.7640196089
91	0.602530182	0.7638231656
92	0.6037531782	0.7633418036
93	0.6044268093	0.762776405
94	0.6039223957	0.7623800773
95	0.6040316355	0.7620350947
96	0.6038974466	0.7614976707
97	0.6047705543	0.7609914506
98	0.6052386133	0.7604742253
99	0.6051140979	0.7601076655
100	0.6056741214	0.7597522763
101	0.6065635992	0.7594054117
102	0.6075389632	0.7590012189
103	0.6075995493	0.7588018763
104	0.606993798	0.7584441234
105	0.6071221151	0.7581803607
106	0.6074385944	0.7577917718
107	0.6078357041	0.7574488978
108	0.6077453239	0.7569853998
109	0.607935428	0.756784881
110	0.6082991251	0.7565075165
111	0.6083185959	0.7561828915
112	0.6081126446	0.7558989942
113	0.6086032044	0.7555908999
114	0.6084579649	0.7553061871
115	0.6087706455	0.7549796449
116	0.6087175607	0.7547411477
117	0.6090994995	0.7545164086
118	0.6085216822	0.7541892369
119	0.6092904326	0.7538707365
120	0.6088706608	0.7536485324
121	0.6091486992	0.7533753254
122	0.6087753238	0.7529692502
123	0.6096624351	0.7524741071
124	0.6096624351	0.752220429
125	0.6096644857	0.7520844636
126	0.6097895193	0.751737497
127	0.609861018	0.7515072722
128	0.6103476169	0.7513075832
129	0.6109443221	0.7510563698
130	0.6110336019	0.750887258
131	0.6115810338	0.7506193792
132	0.6112809026	0.7502815814
133	0.6109253596	0.7500997783
134	0.6108778844	0.7500186324
135	0.6117983968	0.7496998124
136	0.6118372572	0.7495363726
137	0.6122002465	0.7493160131
138	0.6120481573	0.7491906042
139	0.6124976468	0.7489400901
140	0.6122077697	0.7487797645
141	0.6124151018	0.7485458076
142	0.6122295197	0.7484232674
143	0.6123169768	0.7482986227
144	0.6124887485	0.7479300806
145	0.6128347852	0.7475727132
146	0.6136220803	0.7474128444
147	0.6138085365	0.747277331
148	0.6136400493	0.7471292007
149	0.6135916949	0.7468117237
150	0.61372472	0.7465065681
151	0.6142979273	0.7462945841
152	0.6149844561	0.745885312
153	0.6149162558	0.7457511979
154	0.6151520091	0.7453819344
155	0.615158511	0.7452860061
156	0.6150920642	0.7450891776
157	0.6154951656	0.7449473758
158	0.6155824157	0.7446155168
159	0.6158645944	0.7445683832
160	0.6159330262	0.7445004312
161	0.6165194242	0.7443151939
162	0.6163020606	0.744075717
163	0.6160839865	0.7439420322
164	0.6161524735	0.7438173997
165	0.6161389685	0.7436917605
166	0.6161319907	0.7435470653
167	0.6159005139	0.7433135886
168	0.6162241395	0.7430996859
169	0.6166545776	0.7429630353
170	0.6164052701	0.7428098017
171	0.6165064411	0.7426239906
172	0.6168563091	0.7423272446
173	0.617246278	0.7421591157
174	0.6177991091	0.7420276394
175	0.6178850628	0.7419626397
176	0.6175394354	0.7417416359
177	0.618413089	0.7414478831
178	0.6193365175	0.7411460569
179	0.6195142403	0.7410372951
180	0.6195951983	0.7408736095
181	0.6205959685	0.7405563418
182	0.6204613945	0.740294072
183	0.6205338926	0.740199903
184	0.6207421228	0.7399980176
185	0.6205167481	0.7397995116
186	0.6203004411	0.7396648267
187	0.6210533798	0.7394940279
188	0.6209488315	0.739307877
189	0.6212983314	0.7391358286
190	0.6210680262	0.7388471327
191	0.6209985737	0.7387960664
192	0.6217211002	0.738656893
193	0.6226672909	0.7385442868
194	0.6224085851	0.7384958302
195	0.6222447581	0.738194331
196	0.6225571535	0.7380518882
197	0.6223953391	0.7377888955
198	0.6225622145	0.7375918828
199	0.6224924104	0.7375198229
200	0.6224815304	0.7372292997
201	0.623022202	0.7369651748
202	0.6230204786	0.736856337
203	0.6227466481	0.7365988036
204	0.623018221	0.7365532819
205	0.6237557154	0.7364287485
206	0.6234863065	0.7362744126
207	0.6233229079	0.7361383854
208	0.623547482	0.7360427849
209	0.624284612	0.7359846847
210	0.6249813636	0.735731904
211	0.6248404531	0.7354724847
212	0.6253616954	0.7352489338
213	0.6253553012	0.7351487088
214	0.6255360118	0.7350384078
215	0.625579172	0.7348185873
216	0.6257956034	0.7345931224
217	0.6258955273	0.7344301088
218	0.6257195253	0.7342465634
219	0.6257235408	0.7341590692
220	0.6258058312	0.7339290186
221	0.6257547147	0.7337452573
222	0.6257386407	0.7336563468
223	0.626084834	0.7334800084
224	0.6259224963	0.7334033093
225	0.6263809405	0.7332881041
226	0.626560808	0.7332287273
227	0.6264902168	0.7331671798
228	0.6266874757	0.7330583914
229	0.627043404	0.732928385
230	0.6271910489	0.7328095976
231	0.6275323115	0.732578366
232	0.6274314008	0.7324265356
233	0.6278330736	0.7322157895
234	0.6281425089	0.7320361482
235	0.6285524252	0.7317237513
236	0.6280894142	0.7315654154
237	0.6283587321	0.7313827662
238	0.6287717145	0.7312702272
239	0.6286239303	0.7309850437
240	0.6286223187	0.7308276507
241	0.6291217219	0.7307447306
242	0.6290832651	0.7305343761
243	0.6293497104	0.730364323
244	0.6298302358	0.7300910494
245	0.6296674303	0.7299677742
246	0.629558278	0.7298234119
247	0.629118935	0.7297130787
248	0.630341425	0.7293808105
249	0.6305191736	0.7292689057
250	0.6304142138	0.7291248173
251	0.6304324286	0.7289972811
252	0.6303771204	0.7288878943
253	0.6307311733	0.7287041232
254	0.6309440651	0.7286075956
255	0.6305719299	0.7283552919
256	0.6305345535	0.7282721287
257	0.6306394415	0.7282170722
258	0.6306177134	0.7279840424
259	0.6302283489	0.727698808
260	0.6303359098	0.7275509172
261	0.6311668245	0.7273547456
262	0.6314487646	0.7272330952
263	0.6315534883	0.72717769
264	0.6318735132	0.726900148
265	0.6319616499	0.7267070591
266	0.6315688706	0.7265744226
267	0.6316415979	0.7264497442
268	0.631729694	0.7262526609
269	0.6314192202	0.7260901262
270	0.6314879549	0.7258938005
271	0.6316650121	0.7258805862
272	0.6312556391	0.7258156713
273	0.6314312174	0.7257629914
274	0.6317686056	0.7255230993
275	0.6322432667	0.7253769957
276	0.6323462702	0.7252518072
277	0.6327483009	0.7251163277
278	0.6325327554	0.7249845934
279	0.632853056	0.7248985727
280	0.632853056	0.7247916874
281	0.6334357569	0.7246437226
282	0.6342280723	0.7244453653
283	0.6344748316	0.7243174941
284	0.634171845	0.7241661372
285	0.633801893	0.7240485
286	0.6341549506	0.7239648536
287	0.6346423722	0.7237360659
288	0.6351843935	0.7235459637
289	0.6355314963	0.7233509214
290	0.635357904	0.7231731574
291	0.6357229988	0.7228807679
292	0.6351788609	0.7226436336
293	0.635528843	0.7224515664
294	0.6358155149	0.7222835689
295	0.6361968936	0.7220739734
296	0.6372647761	0.7219056806
297	0.6374446064	0.7215998654
298	0.6372843654	0.7214003433
299	0.6374657513	0.7211747949
300	0.6379569669	0.7209944123
301	0.6376959838	0.720910257
302	0.6381132404	0.7206585201
303	0.6384581936	0.7204700045
304	0.6384581936	0.7204149215
305	0.6385068095	0.7202602847
306	0.6384061803	0.7201189247
307	0.6386804642	0.7199743166
308	0.6389057519	0.7197786723
309	0.6386178498	0.7196126256
310	0.6390818857	0.7195275954
311	0.6392085045	0.7194431862
312	0.6394489422	0.7193835308
313	0.6392415477	0.7192636792
314	0.6394722766	0.7191058276
315	0.6394923025	0.7188345648
316	0.6396067481	0.7184497423
317	0.6400022217	0.7183998544
318	0.6399766469	0.7182596288
319	0.6401351255	0.718076642
320	0.6401187021	0.7179112517
321	0.6402072499	0.717850642
322	0.6403327307	0.7176150489
323	0.6403262249	0.7174709911
324	0.6406115965	0.717351825
325	0.6404357598	0.7172276376
326	0.6405410285	0.7170724619
327	0.6407869501	0.7168583536
328	0.640861726	0.7166884017
329	0.64123733	0.716515032
330	0.64123733	0.7164560985
331	0.6407763005	0.7162166948
332	0.6411679995	0.7161178521
333	0.6417346249	0.7159242326
334	0.6416486287	0.7157805133
335	0.6415363618	0.7156152021
336	0.6416429437	0.7155014115
337	0.6416347876	0.7152958339
338	0.6423419696	0.7151539451
339	0.6427374753	0.7150122711
340	0.6423036352	0.714847094
341	0.6425908432	0.7146560514
342	0.6423626826	0.7144394975
343	0.6425907149	0.7143321289
344	0.6424185283	0.714267864
345	0.6428547441	0.7139997596
346	0.6427553611	0.7139374041
347	0.6426158804	0.7138101964
348	0.6428604135	0.7136772292
349	0.6429636829	0.7133865908
350	0.6425284912	0.7132249027
351	0.64218276	0.7130825715
352	0.6428325434	0.7128665321
353	0.6431537469	0.7127067676
354	0.6432895777	0.7125396867
355	0.6433732318	0.7123246561
356	0.6439877962	0.712013456
357	0.6439982906	0.7117700441
358	0.6441320297	0.7115108574
359	0.6446154733	0.7112804566
360	0.6447823369	0.7110383406
361	0.6451494506	0.7109165485
362	0.6458055447	0.7106941839
363	0.6459499529	0.7105068408
364	0.6453398671	0.7102344846
365	0.6454010169	0.7100758205
366	0.6453491067	0.7099087553
367	0.6455473854	0.7097511031
368	0.6454008359	0.7096075821
369	0.6463343667	0.7094487069
370	0.6464067384	0.7092158097
371	0.6469185432	0.7090500726
372	0.6475748446	0.7088876324
373	0.6477194948	0.7087406735
374	0.6477410938	0.7086264446
375	0.6485528877	0.7084136848
376	0.6488227975	0.7081626552
377	0.6484823172	0.7080048182
378	0.6481050724	0.7078090321
379	0.6480164265	0.7077171339
380	0.6483507536	0.707487375
381	0.6489722576	0.7073184485
382	0.649090213	0.7071169161
383	0.6495903114	0.7069345007
384	0.6495579196	0.7066362132
385	0.6499000227	0.7065871005
386	0.6499117837	0.7064823527
387	0.65066731	0.7062341925
388	0.6505783506	0.7060029215
389	0.6517791784	0.7057972406
390	0.6519507046	0.7056592371
391	0.6523379351	0.7055306044
392	0.6526643745	0.7052847855
393	0.652678244	0.7051254715
394	0.6524127408	0.7049203661
395	0.6521468464	0.7047164332
396	0.6518864746	0.7044310854
397	0.6520443029	0.7043313059
398	0.6521521058	0.7042113258
399	0.6525989901	0.7040095774
400	0.6524475559	0.7039057045
401	0.6524475559	0.7037566591
402	0.652092741	0.7036002409
403	0.6526784552	0.7033515763
404	0.6526026955	0.7033071961
405	0.6521125057	0.7030446723
406	0.6522231077	0.7029030152
407	0.6527929985	0.7027742839
408	0.6530088404	0.7026448331
409	0.6530641398	0.7025593828
410	0.6534314918	0.7023742299
411	0.6535055847	0.7021530922
412	0.6531785004	0.7020025454
413	0.6535950207	0.7018356656
414	0.6538586978	0.7017295041
415	0.654243072	0.7016691908
416	0.6548152876	0.7013593446
417	0.6548485095	0.7011896064
418	0.6548492468	0.701109321
419	0.6545268597	0.7009504198
420	0.6545000628	0.7007638245
421	0.654694566	0.7006555322
422	0.6547356092	0.700450854
423	0.6547699355	0.7003282656
424	0.6551173018	0.7001925236
425	0.6556291372	0.7000644286
426	0.6558262564	0.6998368251
427	0.6560154001	0.6996184262
428	0.656032611	0.6994856649
429	0.6555968987	0.6993295143
430	0.6563182655	0.6990996756
431	0.6564754982	0.6989478938
432	0.6561246752	0.6988410923
433	0.6568151312	0.6986308367
434	0.6573989443	0.6984877806
435	0.657229508	0.6984166347
