iter	Passed	Remaining
0	125	125200
1	261	130287
2	390	129621
3	504	125609
4	635	126508
5	772	128033
6	907	128789
7	1055	130935
8	1171	129012
9	1299	128675
10	1421	127841
11	1547	127385
12	1670	126842
13	1804	127080
14	1946	127836
15	2078	127817
16	2205	127522
17	2350	128253
18	2437	125872
19	2562	125581
20	2695	125672
21	2744	121991
22	2892	122889
23	3025	123055
24	3163	123360
25	3297	123519
26	3427	123512
27	3558	123535
28	3676	123105
29	3847	124400
30	3990	124731
31	4136	125132
32	4260	124836
33	4419	125552
34	4546	125362
35	4682	125375
36	4844	126094
37	4995	126470
38	5135	126551
39	5269	126476
40	5409	126540
41	5538	126321
42	5664	126070
43	5788	125766
44	5945	126169
45	6092	126353
46	6239	126519
47	6374	126423
48	6514	126441
49	6646	126280
50	6779	126155
51	6911	126002
52	7054	126053
53	7178	125754
54	7330	125955
55	7455	125683
56	7591	125584
57	7720	125390
58	7867	125472
59	7956	124649
60	8102	124728
61	8183	123812
62	8313	123643
63	8437	123401
64	8580	123424
65	8720	123412
66	8861	123401
67	8996	123302
68	9082	122541
69	9211	122387
70	9342	122242
71	9485	122252
72	9588	121756
73	9739	121874
74	9878	121831
75	10015	121768
76	10151	121682
77	10276	121470
78	10439	121707
79	10573	121596
80	10633	120645
81	10777	120655
82	10932	120783
83	11078	120808
84	11233	120921
85	11370	120846
86	11512	120819
87	11647	120711
88	11778	120559
89	11924	120567
90	12067	120543
91	12106	119489
92	12242	119401
93	12377	119295
94	12506	119140
95	12631	118951
96	12769	118875
97	12910	118830
98	13048	118756
99	13178	118605
100	13307	118447
101	13452	118437
102	13577	118239
103	13704	118070
104	13854	118089
105	13985	117956
106	14113	117788
107	14242	117632
108	14373	117492
109	14500	117318
110	14619	117086
111	14758	117015
112	14897	116934
113	15031	116824
114	15160	116666
115	15285	116486
116	15413	116322
117	15550	116231
118	15690	116161
119	15848	116222
120	15990	116159
121	16116	115987
122	16242	115811
123	16377	115697
124	16505	115538
125	16628	115343
126	16766	115252
127	16911	115208
128	17056	115161
129	17190	115041
130	17312	114845
131	17440	114686
132	17569	114534
133	17704	114420
134	17837	114293
135	17960	114103
136	18102	114033
137	18226	113847
138	18283	113250
139	18407	113075
140	18541	112956
141	18669	112807
142	18799	112662
143	18938	112580
144	19065	112419
145	19207	112348
146	19335	112198
147	19462	112042
148	19590	111890
149	19724	111771
150	19870	111723
151	20014	111661
152	20151	111557
153	20280	111410
154	20408	111261
155	20539	111123
156	20665	110960
157	20802	110856
158	20959	110863
159	21020	110359
160	21140	110166
161	21272	110041
162	21394	109862
163	21526	109733
164	21655	109590
165	21811	109584
166	21955	109514
167	22081	109358
168	22215	109234
169	22336	109057
170	22458	108877
171	22594	108770
172	22735	108685
173	22874	108585
174	23021	108527
175	23143	108355
176	23270	108203
177	23396	108043
178	23523	107890
179	23646	107720
180	23774	107575
181	23916	107492
182	24041	107334
183	24163	107158
184	24301	107056
185	24418	106862
186	24547	106723
187	24683	106613
188	24814	106480
189	24954	106386
190	25089	106270
191	25153	105854
192	25273	105677
193	25460	105780
194	25604	105701
195	25746	105614
196	25877	105481
197	26014	105370
198	26136	105204
199	26267	105069
200	26389	104900
201	26506	104715
202	26633	104567
203	26768	104449
204	26893	104293
205	27023	104159
206	27190	104166
207	27323	104039
208	27440	103854
209	27576	103741
210	27699	103578
211	27820	103408
212	27959	103304
213	28083	103146
214	28212	103008
215	28346	102888
216	28472	102736
217	28595	102577
218	28772	102609
219	28966	102699
220	29184	102871
221	29319	102750
222	29434	102560
223	29555	102388
224	29701	102306
225	29855	102247
226	29992	102134
227	30124	102001
228	30251	101850
229	30375	101692
230	30503	101546
231	30628	101391
232	30766	101279
233	30902	101159
234	31022	100987
235	31148	100836
236	31393	101067
237	31575	101095
238	31731	101036
239	31865	100906
240	32011	100817
241	32140	100672
242	32291	100595
243	32439	100509
244	32581	100403
245	32734	100332
246	32875	100223
247	33033	100165
248	33163	100021
249	33290	99871
250	33418	99722
251	33537	99549
252	33677	99435
253	33827	99351
254	33968	99240
255	34095	99090
256	34218	98926
257	34361	98823
258	34488	98672
259	34617	98525
260	34758	98416
261	34897	98299
262	35028	98159
263	35151	97999
264	35276	97842
265	35396	97674
266	35532	97547
267	35664	97412
268	35802	97292
269	35942	97178
270	36081	97059
271	36197	96882
272	36329	96744
273	36466	96621
274	36598	96486
275	36745	96391
276	36873	96244
277	37008	96116
278	37136	95970
279	37260	95812
280	37389	95668
281	37521	95532
282	37653	95396
283	37783	95257
284	37911	95111
285	38044	94977
286	38172	94833
287	38301	94689
288	38427	94538
289	38569	94429
290	38698	94286
291	38843	94183
292	38978	94054
293	39107	93910
294	39228	93750
295	39354	93599
296	39486	93465
297	39628	93353
298	39762	93222
299	39904	93110
300	40042	92988
301	40171	92847
302	40311	92728
303	40439	92586
304	40566	92439
305	40709	92328
306	40841	92192
307	40977	92066
308	41107	91926
309	41234	91779
310	41359	91629
311	41484	91479
312	41611	91333
313	41756	91225
314	41894	91103
315	42033	90983
316	42168	90855
317	42304	90728
318	42427	90573
319	42566	90454
320	42698	90318
321	42839	90202
322	42986	90097
323	43111	89948
324	43239	89805
325	43380	89688
326	43505	89539
327	43648	89425
328	43789	89309
329	43914	89160
330	44043	89017
331	44182	88897
332	44309	88753
333	44448	88630
334	44587	88510
335	44733	88401
336	44858	88251
337	44986	88108
338	45110	87959
339	45255	87849
340	45375	87689
341	45510	87560
342	45650	87441
343	45782	87305
344	45920	87181
345	46046	87035
346	46171	86886
