iter	MultiClass
0	1.050015496
1	1.007104368
2	0.969943101
3	0.9371454433
4	0.9070532585
5	0.8801401244
6	0.8548736526
7	0.8323081388
8	0.811898586
9	0.7922689635
10	0.7741027082
11	0.7573856236
12	0.7424719397
13	0.7282500506
14	0.7150449375
15	0.7024829731
16	0.6907059149
17	0.6797574731
18	0.6698609822
19	0.6607467393
20	0.6517279832
21	0.6432630268
22	0.6359783554
23	0.6288782182
24	0.6217302703
25	0.6155734432
26	0.6090941905
27	0.6037468083
28	0.5986148475
29	0.5931026755
30	0.5887788746
31	0.5842516533
32	0.5799358583
33	0.5757875604
34	0.5716678021
35	0.5681354026
36	0.5649328744
37	0.561951812
38	0.5592164828
39	0.5567802434
40	0.5541233903
41	0.5519791208
42	0.5488633643
43	0.5463104162
44	0.5440372732
45	0.541709097
46	0.5399860171
47	0.5384612798
48	0.536183438
49	0.534355087
50	0.5324300203
51	0.5308064271
52	0.5294713785
53	0.5280237628
54	0.5267452474
55	0.525350711
56	0.5240871806
57	0.5230400325
58	0.5219389111
59	0.5207732898
60	0.519740852
61	0.5185169425
62	0.5177652411
63	0.5168179978
64	0.515784875
65	0.5147533217
66	0.5137847595
67	0.5125862758
68	0.5118850609
69	0.510866799
70	0.5099508143
71	0.5091852312
72	0.5082452474
73	0.5073567451
74	0.5065228575
75	0.5057282719
76	0.5051998932
77	0.504631825
78	0.503728598
79	0.5032720504
80	0.5029913006
81	0.5024556273
82	0.5018747201
83	0.5009580834
84	0.5005244029
85	0.499880076
86	0.4990862479
87	0.4986567526
88	0.498129448
89	0.4976553034
90	0.4970548728
91	0.4966344179
92	0.4961217963
93	0.4957688695
94	0.4950500851
95	0.4946349166
96	0.4942795756
97	0.4937582269
98	0.4931533346
99	0.4928217258
100	0.4925309502
101	0.4919238471
102	0.4914462185
103	0.4910947969
104	0.4907315296
105	0.4904377217
106	0.4899155743
107	0.4894127176
108	0.4890431301
109	0.4886588673
110	0.488382282
111	0.48797905
112	0.4879683886
113	0.4874407177
114	0.4871870393
115	0.4869583953
116	0.4865269015
117	0.4863210776
118	0.4858695938
119	0.4853763027
120	0.485214516
121	0.4850552158
122	0.4848572819
123	0.4844687491
124	0.4840394494
125	0.4837068833
126	0.4834203865
127	0.4830452533
128	0.4827544823
129	0.4825480982
130	0.4823266112
131	0.4821328164
132	0.4817771685
133	0.4815078163
134	0.4812997018
135	0.4810762849
136	0.4806933358
137	0.4804376098
138	0.4802231925
139	0.4800750968
140	0.4799226186
141	0.47947748
142	0.4792510893
143	0.479131844
144	0.4787881892
145	0.4784587966
146	0.478175719
147	0.4777828561
148	0.4776447179
149	0.4772800042
150	0.4769433225
151	0.4767836842
152	0.4763399616
153	0.4761782288
154	0.4758173919
155	0.4755836884
156	0.4753245814
157	0.4751785837
158	0.4750305116
159	0.4746770241
160	0.474395425
161	0.4741053772
162	0.4738531408
163	0.4732702786
164	0.4729325234
165	0.4727084089
166	0.4724751275
167	0.4721676517
168	0.4718770699
169	0.4716986371
170	0.4715596349
171	0.4713140942
172	0.4710259099
173	0.4707764263
174	0.4704642529
175	0.470240093
176	0.4699609867
177	0.4696592037
178	0.4694320918
179	0.4691491733
180	0.4688766465
181	0.4686769815
182	0.4685451235
183	0.4683258792
184	0.4682129883
185	0.4677531534
186	0.4676167663
187	0.467386264
188	0.4671084065
189	0.4669220011
190	0.4663852336
191	0.4660976218
192	0.4659074459
193	0.4656744762
194	0.4654236435
195	0.465220501
196	0.4650523897
197	0.4649452769
198	0.4645044105
199	0.4643255103
200	0.4641062713
201	0.4639197972
202	0.4636037989
203	0.4633993097
204	0.4631693208
205	0.4629218621
206	0.4626492475
207	0.4623388508
208	0.4620246851
209	0.4616146301
210	0.4613298236
211	0.4611472176
212	0.4608743272
213	0.4606036657
214	0.4603901083
215	0.4600645658
216	0.4598288295
217	0.4596293118
218	0.4594578496
219	0.4592300975
220	0.4591274136
221	0.4588760624
222	0.4586048834
223	0.458394279
224	0.4582354913
225	0.4581584074
226	0.4578478908
227	0.4576386173
228	0.4574069
229	0.4571441198
230	0.4568605692
231	0.4566283656
232	0.4565071661
233	0.4562450848
234	0.4558951327
235	0.4555623869
236	0.4553745254
237	0.4551063818
238	0.4548730555
239	0.4546497997
240	0.4543868416
241	0.4542011789
242	0.454034683
243	0.4538095543
244	0.4536983802
245	0.4534962809
246	0.453106956
247	0.4528216633
248	0.45255543
249	0.4525158275
250	0.4523015128
251	0.4520930025
252	0.4518312407
253	0.4515681688
254	0.4513073425
255	0.4511225118
256	0.451053097
257	0.451007307
258	0.450690331
259	0.4506243487
260	0.4503623896
261	0.4501576446
262	0.4499757705
263	0.4497493891
264	0.4495404077
265	0.4494103685
266	0.4491699791
267	0.4490283973
268	0.4486183365
269	0.4485083877
270	0.4481705188
271	0.4478867995
272	0.447672922
273	0.4474635451
274	0.4472009725
275	0.4470752107
276	0.4469430137
277	0.4467977588
278	0.4464626733
279	0.4462097086
280	0.4460796951
281	0.445853371
282	0.4456409451
283	0.4452937887
284	0.445063615
285	0.4448592793
286	0.4447471908
287	0.4444056893
288	0.4442508225
289	0.4440601655
290	0.4438947887
291	0.4437776065
292	0.4435098748
293	0.4432979301
294	0.4430366296
295	0.4426833137
296	0.4425777056
297	0.4424408682
298	0.4422878259
299	0.4421907263
300	0.441916967
301	0.441665495
302	0.4414525284
303	0.4414256823
304	0.4410513191
305	0.4408417034
306	0.4407055199
307	0.4404452755
308	0.4401986307
309	0.4400372206
310	0.4397586188
311	0.4396024195
312	0.4395402564
313	0.4394429224
314	0.4393425316
315	0.4392796897
316	0.4390116317
317	0.4387451335
318	0.4384989165
319	0.4381591249
320	0.4379383595
321	0.4376928642
322	0.4374539374
323	0.4371499673
324	0.4369776826
325	0.4367125225
326	0.4365942681
327	0.4363532463
328	0.4361895209
329	0.4361028892
330	0.4359448102
331	0.4357089957
332	0.4353490813
333	0.4352043115
334	0.4350211727
335	0.4348255728
336	0.434634857
337	0.4344187321
338	0.4342668814
339	0.4342034146
340	0.4341190815
341	0.4338785289
342	0.4336274641
343	0.4334499208
344	0.4332480033
345	0.4328890245
346	0.4325598442
347	0.4323537148
348	0.4321857535
349	0.4319883033
350	0.4317725498
351	0.4317021442
352	0.4314902461
353	0.4311929039
354	0.431040355
355	0.4307890348
356	0.4306315518
357	0.4305617984
358	0.4304411666
359	0.4302313417
360	0.4301251691
361	0.4299522555
362	0.4297791582
363	0.4295413289
364	0.4293841413
365	0.4291117268
366	0.4288473111
367	0.4286406077
368	0.4283288362
369	0.4281141456
370	0.4277800093
371	0.4276362172
372	0.4275236316
373	0.427334756
374	0.4270946747
375	0.4268982722
376	0.426746109
377	0.4265043917
378	0.4263284723
379	0.4260903971
380	0.4259093441
381	0.425645147
382	0.4252939711
383	0.4250041483
384	0.4249045749
385	0.4247271915
386	0.4244570583
387	0.4243511406
388	0.4241945436
389	0.4240018079
390	0.4237535833
391	0.4235020661
392	0.423301593
393	0.4231887239
394	0.4229975019
395	0.4228895039
396	0.4226641075
397	0.4226081712
398	0.4224413032
399	0.4222389593
400	0.4219266222
401	0.4217178234
402	0.4215006673
403	0.4214016206
404	0.4212278766
405	0.4210067614
406	0.4206702293
407	0.4204121117
408	0.4201638617
409	0.419839628
410	0.4195235102
411	0.4191271759
412	0.4188562927
413	0.4187927081
414	0.4186871043
415	0.4185651601
416	0.4183466681
417	0.4180942886
418	0.4179483257
419	0.4178130385
420	0.4175846217
421	0.417258807
422	0.416901553
423	0.4166746089
424	0.4164466137
425	0.4162716669
426	0.4161889798
427	0.4159553716
428	0.415732578
429	0.4154951695
430	0.4152446566
431	0.4150058681
432	0.4147240312
433	0.4144118005
434	0.4142011964
435	0.4139879919
436	0.4138166643
437	0.4135789675
438	0.4133899303
439	0.4132811157
440	0.4131301743
441	0.4129353281
442	0.4126909539
443	0.4123423124
444	0.4120430376
445	0.4118568131
446	0.4115557924
447	0.4112747234
448	0.4111034416
449	0.4109205049
450	0.410763484
451	0.4105477781
452	0.4103836321
453	0.4101559825
454	0.4098894337
455	0.4096918308
456	0.4095859644
457	0.4093583418
458	0.409184662
459	0.4091114693
460	0.4088635986
461	0.4084166934
462	0.4083029746
463	0.4082026376
464	0.4080195004
465	0.4077876327
466	0.4076498915
467	0.4075463646
468	0.4074210526
469	0.4072215627
470	0.4071191294
471	0.4069302514
472	0.4068366422
473	0.4066019992
474	0.406265814
475	0.4061064725
476	0.4060760376
477	0.4059071493
478	0.4056470953
479	0.4054726632
480	0.4052614077
481	0.4050907954
482	0.4048296361
483	0.4046133215
484	0.4042900872
485	0.4042118793
486	0.4040437077
487	0.4037864397
488	0.4035592239
489	0.4033657496
490	0.4031607851
491	0.4030227197
492	0.4028774719
493	0.4028051551
494	0.4026113454
495	0.4025182187
496	0.4022915984
497	0.4021127845
498	0.4019705665
499	0.4017619275
500	0.4014793278
501	0.4013751094
502	0.401139233
503	0.400963403
504	0.4007894014
505	0.4006277603
506	0.4004718003
507	0.4003431619
508	0.4002475184
509	0.4000493351
510	0.3999583098
511	0.3997683491
512	0.3996551407
513	0.399490729
514	0.3993121315
515	0.3991652313
516	0.3990388415
517	0.3988294569
518	0.398496914
519	0.3983804051
520	0.3983050474
521	0.3981232873
522	0.3979965585
523	0.3979316051
524	0.3978156538
525	0.3976277493
526	0.397439032
527	0.3973117736
528	0.3971084575
529	0.3969001929
530	0.3966996077
531	0.3965629505
532	0.3965451371
533	0.3963662295
534	0.3962332914
535	0.3960637872
536	0.3960015504
537	0.3958100797
538	0.3957428965
539	0.3955384546
540	0.3953217258
541	0.3951334608
542	0.3949684828
543	0.3948608948
544	0.394666164
545	0.3944999177
546	0.394407947
547	0.3941624886
548	0.3940807164
549	0.3939332208
550	0.3936728158
551	0.3934837352
552	0.3932293105
553	0.3930124267
554	0.3928342355
555	0.3927355255
556	0.3926685543
557	0.3926286817
558	0.3924725175
559	0.392238391
560	0.3921566904
561	0.3920294399
562	0.391935513
563	0.3917712301
564	0.3916945241
565	0.3915742146
566	0.3914364599
567	0.3912591195
568	0.3911866813
569	0.3910572511
570	0.390850211
571	0.3907994001
572	0.3905944887
573	0.3903680633
574	0.3902022688
575	0.3901415583
576	0.3900933966
577	0.3900212341
578	0.3898096077
579	0.3895997601
580	0.3893975606
581	0.3892991768
582	0.3891694064
583	0.3889647027
584	0.3888477593
585	0.3887192498
586	0.3886829325
587	0.3884534474
588	0.3883276545
589	0.3882864368
590	0.3880888703
591	0.3879736205
592	0.3878499068
593	0.3876592829
594	0.3875010955
595	0.3871848963
596	0.3869130526
597	0.3867268339
598	0.3865708022
599	0.3864413698
600	0.3862039937
601	0.3860223457
602	0.3857556679
603	0.3856116875
604	0.3854485689
605	0.3853118461
606	0.3851541978
607	0.3850812362
608	0.3848525501
609	0.3847039194
610	0.3844684148
611	0.3843908663
612	0.3842267677
613	0.3839081951
614	0.383810556
615	0.3836577326
616	0.3835114278
617	0.3833369074
618	0.3831342051
619	0.382915084
620	0.382618337
621	0.3825077802
622	0.3824313234
623	0.3823078991
624	0.3821859678
625	0.38209913
626	0.3819970481
627	0.3817332608
628	0.3815542725
629	0.3814682794
630	0.3812520604
631	0.3810857307
632	0.3810458401
633	0.3809114789
634	0.3808095996
635	0.3806799013
636	0.3804226942
637	0.3802750429
638	0.3801503597
639	0.3800388825
640	0.3799084763
641	0.3798805006
642	0.3795829984
643	0.3793871123
644	0.3792405967
645	0.3790922487
646	0.37892566
647	0.3786057689
648	0.3784616563
649	0.3782723354
650	0.3781520442
651	0.3780271828
652	0.3778358687
653	0.3776547624
654	0.3774876969
655	0.3773842177
656	0.377252788
657	0.3771204895
658	0.3770219714
659	0.3767873485
660	0.376592399
661	0.3764314954
662	0.3763632778
663	0.3761581461
664	0.3759447224
665	0.3757809969
666	0.3757526857
667	0.3756677111
668	0.3754607734
669	0.3752815937
670	0.3750870376
671	0.3749021129
672	0.3747513414
673	0.3746068506
674	0.3744672343
675	0.3743361497
676	0.3740636818
677	0.3740088752
678	0.3738780004
679	0.3736833472
680	0.3734907218
681	0.3733169083
682	0.3732084816
683	0.373039067
684	0.3728750887
685	0.3727296051
686	0.3724391168
687	0.3722004976
688	0.3720595465
689	0.3718691354
690	0.3716885519
691	0.371603783
692	0.3714601694
693	0.3713428265
694	0.3711827458
695	0.3710288753
696	0.3708522736
697	0.3706294647
698	0.3705178211
699	0.3703026684
700	0.3701860527
701	0.3700877811
702	0.369856967
703	0.369793707
704	0.3697180515
705	0.3693819826
706	0.3692462503
707	0.3689659709
708	0.3689173641
709	0.3687397036
710	0.368483372
711	0.368325739
712	0.3682401921
713	0.3680980134
714	0.3679762469
715	0.3679133855
716	0.3677396089
717	0.3676673074
718	0.3675709181
719	0.3673173809
720	0.3671605401
721	0.367109696
722	0.3669716826
723	0.36686552
724	0.3667903146
725	0.3666644481
726	0.3664949092
727	0.3663470715
728	0.3660335853
729	0.3658882885
730	0.3656716004
731	0.3654709378
732	0.3652805637
733	0.3652112545
734	0.3651051983
735	0.3648968801
736	0.3647698335
737	0.3646629008
738	0.3646165564
739	0.3643547005
740	0.364155798
741	0.3640035892
742	0.3637871577
743	0.3636239826
744	0.3635525884
745	0.3634569458
746	0.3633006415
747	0.3631762934
748	0.3630363425
749	0.3628435853
750	0.3626215928
751	0.3624502044
752	0.3621836754
753	0.3620848591
754	0.3618612234
755	0.3616678742
756	0.3615362766
757	0.3614555925
758	0.3613048612
759	0.3611487763
760	0.3610310416
761	0.3609154452
762	0.3607476136
763	0.36061239
764	0.3603233683
765	0.360197014
766	0.3600023208
767	0.3598242573
768	0.3596934321
769	0.35951015
770	0.3594201115
771	0.35928085
772	0.3590647923
773	0.3588280761
774	0.3586901298
775	0.358583252
776	0.3583084194
777	0.3581021871
778	0.3580215022
779	0.3578194187
780	0.3577251287
781	0.3575792321
782	0.3574139262
783	0.3573429185
784	0.3571808294
785	0.3570481958
786	0.3569243622
787	0.3567487156
788	0.3565634854
789	0.3563810035
790	0.3562389941
791	0.3560279917
792	0.3559123889
793	0.3558425688
794	0.3557148614
795	0.3555447748
796	0.3554685998
797	0.3553471257
798	0.3552725018
799	0.35517524
800	0.3550425354
801	0.3549766273
802	0.3548958444
803	0.3545899023
