iter	Passed	Remaining
0	124	124095
1	270	134990
2	406	135198
3	542	135200
4	731	145631
5	854	141525
6	968	137338
7	1114	138241
8	1248	137420
9	1382	136887
10	1509	135732
11	1637	134856
12	1757	133436
13	1882	132588
14	1999	131294
15	2128	130880
16	2253	130328
17	2383	130039
18	2477	127937
19	2594	127111
20	2723	126955
21	2843	126410
22	2963	125868
23	3096	125914
24	3224	125742
25	3359	125838
26	3481	125476
27	3604	125126
28	3732	124963
29	3849	124453
30	3974	124229
31	4099	124014
32	4235	124118
33	4575	129996
34	4671	128797
35	4783	128100
36	4891	127314
37	5064	128201
38	5162	127203
39	5266	126402
40	5400	126309
41	5528	126091
42	5662	126021
43	5791	125839
44	5910	125443
45	6040	125277
46	6131	124317
47	6255	124074
48	6379	123823
49	6505	123605
50	6626	123313
51	6748	123038
52	6874	122836
53	6999	122626
54	7128	122472
55	7263	122447
56	7389	122246
57	7507	121933
58	7630	121692
59	7758	121547
60	7879	121292
61	8005	121121
62	8140	121076
63	8264	120869
64	8402	120863
65	8530	120717
66	8668	120716
67	8788	120459
68	8936	120579
69	9054	120299
70	9191	120261
71	9322	120159
72	9448	119979
73	9573	119793
74	9700	119637
75	9835	119580
76	9968	119486
77	10101	119406
78	10235	119322
79	10364	119190
80	10492	119045
81	10638	119096
82	10759	118870
83	10873	118575
84	11002	118434
85	11152	118528
86	11284	118421
87	11406	118212
88	11526	117984
89	11643	117730
90	11761	117489
91	11891	117364
92	12012	117150
93	12142	117031
94	12281	117000
95	12413	116892
96	12535	116697
97	12665	116578
98	12780	116317
99	12906	116156
100	13034	116020
101	13107	115395
102	13236	115275
103	13364	115138
104	13491	115002
105	13613	114812
106	13728	114576
107	13848	114379
108	13968	114180
109	14096	114052
110	14139	113244
111	14262	113080
112	14377	112860
113	14507	112754
114	14633	112614
115	14761	112490
116	14887	112354
117	15019	112267
118	15289	113195
119	15417	113058
120	15539	112885
121	15673	112798
122	15802	112674
123	15922	112482
124	16047	112329
125	16168	112153
126	16303	112069
127	16426	111905
128	16541	111684
129	16675	111600
130	16803	111469
131	16938	111381
132	17085	111378
133	17218	111276
134	17284	110748
135	17399	110536
136	17517	110346
137	17657	110296
138	17782	110150
139	17910	110020
140	18041	109912
141	18169	109786
142	18307	109714
143	18430	109558
144	18554	109410
145	18685	109297
146	18802	109104
147	18923	108938
148	19050	108804
149	19172	108641
150	19310	108573
151	19433	108420
152	19561	108291
153	19690	108168
154	19808	107985
155	19927	107813
156	20058	107702
157	20187	107579
158	20311	107433
159	20428	107248
160	20557	107127
161	20679	106969
162	20801	106817
163	20936	106726
164	21062	106590
165	21190	106463
166	21326	106379
167	21456	106259
168	21579	106109
169	21690	105899
170	21812	105747
171	21899	105425
172	22021	105269
173	22145	105128
174	22271	104994
175	22390	104828
176	22505	104642
177	22634	104525
178	22756	104374
179	22876	104214
180	22997	104059
181	23122	103923
182	23256	103828
183	23383	103701
184	23518	103606
185	23667	103576
186	23788	103421
187	23905	103253
188	24039	103153
189	24166	103024
190	24295	102905
191	24415	102749
192	24526	102555
193	24663	102467
194	24786	102324
195	24929	102260
196	25053	102122
197	25187	102020
198	25309	101874
199	25418	101675
200	25537	101514
201	25661	101375
202	25783	101229
203	25905	101081
204	26052	101031
205	26183	100922
206	26322	100838
207	26454	100732
208	26568	100554
209	26709	100478
210	26834	100344
211	26955	100193
212	27094	100109
213	27253	100100
214	27365	99916
215	27482	99750
216	27615	99643
217	27739	99505
218	27852	99327
219	27985	99222
220	28109	99081
221	28236	98955
222	28358	98811
223	28480	98665
224	28604	98525
225	28734	98409
226	28849	98239
227	28980	98128
228	29155	98161
229	29270	97994
230	29392	97848
231	29529	97752
232	29653	97615
233	29775	97470
234	29903	97346
235	30040	97249
236	30176	97151
237	30293	96991
238	30417	96851
239	30539	96709
240	30668	96588
241	30794	96456
242	30913	96302
243	31042	96180
244	31165	96041
245	31296	95926
246	31408	95752
247	31525	95592
248	31654	95471
249	31785	95357
250	31853	95054
251	31987	94948
252	32118	94832
253	32241	94693
254	32380	94603
255	32504	94465
256	32633	94344
257	32750	94188
258	32876	94060
259	33015	93966
260	33142	93839
261	33269	93714
262	33383	93550
263	33504	93406
264	33634	93288
265	33749	93128
266	33870	92985
267	34003	92874
268	34137	92767
269	34266	92646
270	34380	92483
271	34504	92351
272	34632	92226
273	34748	92071
274	34882	91963
275	35013	91846
276	35143	91729
277	35258	91571
278	35382	91436
279	35505	91299
280	35632	91172
281	35749	91020
282	35876	90895
283	36005	90775
284	36141	90669
285	36263	90533
286	36386	90396
287	36511	90264
288	36639	90141
289	36763	90007
290	36891	89884
291	37020	89760
292	37150	89643
293	37265	89488
294	37389	89354
295	37516	89228
296	37633	89077
297	37761	88954
298	37889	88830
299	38022	88718
300	38147	88588
301	38259	88428
302	38388	88307
303	38515	88180
304	38652	88077
305	38784	87961
306	38925	87867
307	39081	87806
308	39221	87708
309	39364	87618
310	39496	87502
311	39630	87389
312	39761	87271
313	39902	87175
314	40044	87081
315	40173	86957
316	40317	86866
317	40460	86773
318	40609	86693
319	40748	86589
320	40899	86512
321	41027	86387
322	41168	86287
323	41300	86171
324	41435	86058
325	41570	85945
326	41701	85826
327	41843	85728
328	41985	85629
329	42118	85512
330	42269	85433
331	42395	85302
332	42515	85159
333	42640	85025
334	42761	84885
335	42886	84752
336	43011	84618
337	43141	84496
338	43264	84359
339	43390	84227
340	43515	84096
341	43642	83967
342	43768	83836
343	43919	83752
344	44049	83629
345	44170	83489
346	44286	83340
347	44413	83212
348	44530	83064
349	44668	82955
350	44796	82829
351	44939	82730
352	45070	82608
353	45209	82501
354	45327	82356
355	45460	82237
356	45584	82103
357	45703	81960
358	45829	81828
359	45949	81687
360	46082	81569
361	46194	81414
362	46318	81280
363	46436	81136
364	46562	81006
365	46693	80884
366	46835	80781
367	46961	80651
368	47081	80510
369	47197	80363
370	47336	80254
371	47452	80108
372	47573	79969
373	47701	79842
374	47826	79710
375	47951	79578
376	48072	79440
377	48189	79296
378	48297	79137
379	48420	79001
380	48549	78877
381	48674	78746
382	48801	78617
383	48937	78503
384	49073	78389
385	49188	78243
386	49303	78095
387	49472	78034
388	49611	77924
389	49743	77803
390	49881	77692
391	50017	77578
392	50148	77455
393	50273	77324
394	50414	77217
395	50547	77098
396	50680	76977
397	50805	76847
398	50929	76712
399	51054	76582
400	51184	76457
401	51303	76317
402	51429	76186
403	51552	76053
404	51674	75916
405	51796	75781
406	51919	75647
407	52045	75517
408	52169	75384
409	52284	75239
410	52400	75094
411	52527	74966
412	52650	74832
413	52769	74693
414	52904	74576
415	53039	74459
416	53168	74333
417	53280	74184
418	53400	74046
419	53559	73963
420	53705	73860
421	53872	73787
422	54019	73686
423	54148	73559
424	54272	73427
425	54423	73331
426	54561	73217
427	54687	73087
428	54820	72966
429	54954	72847
430	55088	72727
431	55228	72615
432	55357	72488
433	55471	72342
434	55625	72248
435	55751	72119
436	55886	72000
437	56024	71885
438	56150	71755
439	56271	71617
440	56389	71477
441	56515	71347
442	56654	71234
443	56783	71107
444	56924	70995
445	57105	70933
446	57246	70821
447	57378	70698
448	57510	70574
449	57639	70448
450	57788	70345
451	57916	70217
452	58053	70100
453	58183	69974
454	58307	69840
455	58433	69710
456	58556	69576
